Filename,Total # tests,Failed tests (any),Failed Chi^2 tests,Failed min. pass tests,Normal tests,NonOverlappingTemplate,RandomExcursions,RandomExcursionsVariant
hackrf-data-1000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
hackrf-data-1000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,160,160,160,14,148,8,18
hackrf-data-1300000000.wav-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-1300000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,3,3,2,14,148,8,18
hackrf-data-1300000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-145800000.wav-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-145800000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
hackrf-data-145800000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-1559000000.wav-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-1559000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,2,2,1,14,148,8,18
hackrf-data-1559000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-2200000000.wav-debiased.bin_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-data-2200000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
hackrf-data-2200000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-data-433000000.wav-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-433000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,2,1,2,14,148,8,18
hackrf-data-433000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-5000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
hackrf-data-5000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-74000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,2,2,1,14,148,8,18
hackrf-data-74000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-790000000.wav-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-790000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,4,2,3,14,148,8,18
hackrf-data-790000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-862000000.wav-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-862000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
hackrf-data-862000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-data-95000000.wav-debiased.bin_finalAnalysisReport.txt,188,160,160,159,14,148,8,18
hackrf-data-95000000.wav-ka-debiased.bin_finalAnalysisReport.txt,188,1,1,1,14,148,8,18
hackrf-data-95000000.wav-vn-debiased.bin_finalAnalysisReport.txt,188,157,157,149,14,148,8,18
hackrf-no-data-10000000.wav-125MB.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-no-data-1000000.wav-125MB.wav_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-no-data-1300000000.wav-125MB.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-no-data-145800000.wav-125MB.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-no-data-1559000000.wav-125MB.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-no-data-2200000000.wav-125MB.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-no-data-433000000.wav-125MB.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-no-data-5000000.wav-125MB.wav_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
